Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,50.0,52.0,55.0,57.0,60.0,65.0,68.0,67.0,64.0,60.0,55.0,53.0,58.8
Baja California,45.0,46.0,47.0,48.0,50.0,52.0,55.0,54.0,52.0,50.0,47.0,46.0,49.3
Baja California Sur,60.0,61.0,62.0,63.0,65.0,67.0,70.0,71.0,70.0,68.0,65.0,62.0,65.3
Campeche,80.0,81.0,82.0,83.0,84.0,85.0,86.0,85.0,84.0,83.0,82.0,81.0,83.0
Coahuila,40.0,42.0,44.0,46.0,48.0,50.0,52.0,52.0,50.0,48.0,46.0,44.0,46.8
Colima,70.0,70.0,71.0,72.0,73.0,74.0,75.0,75.0,74.0,73.0,72.0,71.0,72.5
Chiapas,85.0,85.0,86.0,87.0,88.0,89.0,90.0,90.0,89.0,88.0,87.0,86.0,87.5
Chihuahua,35.0,36.0,38.0,40.0,42.0,44.0,45.0,45.0,43.0,40.0,38.0,36.0,40.2
Ciudad de México,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,65.0,64.0,63.0,62.0,63.4
Durango,45.0,46.0,47.0,48.0,50.0,52.0,54.0,54.0,52.0,50.0,48.0,47.0,49.4
Guanajuato,55.0,56.0,57.0,58.0,60.0,62.0,64.0,64.0,63.0,61.0,58.0,56.0,59.5
Guerrero,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,75.0,74.0,73.0,72.0,73.4
Hidalgo,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,65.0,64.0,63.0,62.0,63.4
Jalisco,65.0,66.0,67.0,68.0,70.0,72.0,74.0,74.0,73.0,71.0,68.0,66.0,69.5
Estado de México,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,65.0,64.0,63.0,62.0,63.4
Michoacán,60.0,61.0,62.0,63.0,65.0,67.0,68.0,68.0,67.0,65.0,63.0,62.0,64.3
Morelos,65.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0,70.0,69.0,68.0,67.0,68.4
Nayarit,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,75.0,74.0,73.0,72.0,73.4
Nuevo León,40.0,41.0,42.0,43.0,44.0,45.0,46.0,46.0,45.0,44.0,43.0,42.0,43.4
Oaxaca,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,65.0,64.0,63.0,62.0,63.4
Puebla,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,65.0,64.0,63.0,62.0,63.4
Querétaro,42.0,43.0,44.0,45.0,47.0,49.0,51.0,51.0,49.0,47.0,45.0,44.0,46.4
Quintana Roo,85.0,86.0,87.0,88.0,89.0,90.0,91.0,91.0,90.0,89.0,88.0,87.0,88.4
San Luis Potosí,50.0,51.0,52.0,53.0,55.0,57.0,59.0,59.0,57.0,55.0,53.0,52.0,54.4
Sinaloa,65.0,66.0,67.0,68.0,70.0,72.0,74.0,74.0,72.0,70.0,68.0,67.0,69.4
Sonora,35.0,36.0,37.0,38.0,39.0,40.0,41.0,41.0,40.0,39.0,38.0,37.0,38.4
Tabasco,90.0,90.0,91.0,92.0,93.0,94.0,94.0,94.0,93.0,92.0,91.0,90.0,92.0
Tamaulipas,55.0,56.0,57.0,58.0,60.0,62.0,64.0,64.0,62.0,60.0,58.0,57.0,59.4
Tlaxcala,50.0,51.0,52.0,53.0,55.0,57.0,59.0,59.0,57.0,55.0,53.0,52.0,54.4
Veracruz,70.0,71.0,72.0,73.0,75.0,77.0,79.0,79.0,77.0,75.0,73.0,72.0,74.4
Yucatán,80.0,81.0,82.0,83.0,84.0,85.0,86.0,86.0,85.0,84.0,83.0,82.0,83.4
Zacatecas,40.0,41.0,42.0,43.0,45.0,47.0,49.0,49.0,47.0,45.0,43.0,42.0,44.4
Nacional,55.0,56.0,57.0,58.0,60.0,62.0,64.0,64.0,62.0,60.0,58.0,57.0,59.4
